,compound unit,context,segmented,split units,the unit is split,compound unit form,unexpected segmentation,unexpected joining
0,各般,すぐれた安定、効率的な担い手、これをどうしても早急につくり上げなくちゃならない。そのために各般の施策を講ずるということで、ほかにも今度の国内対策では、農地の流動化,"['すぐれ', 'た', '安定', '、', '効率', '的', 'な', '担い手', '、', 'これ', 'を', 'どうしても', '早急', 'に', 'つくり上げ', 'なく', 'ちゃ', 'なら', 'ない', '。', 'その', 'ため', 'に', '各般', 'の', '施策', 'を', '講ずる', 'という', 'こと', 'で', '、', 'ほか', 'に', 'も', '今度', 'の', '国内', '対策', 'で', 'は', '、', '農地', 'の', '流動', '化']",['各般'],NO,各般,NO,NO
1,各般,断行することによって、我が国の事業環境の魅力を高め、地域産業の発展が図られるよう各般の施策に取り組んでいく所存でございます。○坂上分科員期待をいたしておりますが、願わく,"['断行', 'する', 'こと', 'によって', '、', '我が国', 'の', '事業', '環境', 'の', '魅力', 'を', '高め', '、', '地域', '産業', 'の', '発展', 'が', '図ら', 'れる', 'よう', '各般', 'の', '施策', 'に', '取り組ん', 'で', 'いく', '所存', 'で', 'ござい', 'ます', '。', '○', '坂上', '分科', '員', '期待', 'を', 'いたし', 'て', 'おり', 'ます', 'が', '、', '願', 'わく']",['各般'],NO,各般,NO,NO
2,各般,の遺産を特定の相続人に単独で相続により承継させようとする遺言は、前記の各般の事情を配慮してこの被相続人の意思として当然あり得る合理的な遺産の分割の方法を,"['の', '遺産', 'を', '特定', 'の', '相続', '人', 'に', '単独', 'で', '相続', 'により', '承継', 'さ', 'せよ', 'う', 'と', 'する', '遺言', 'は', '、', '前記', 'の', '各般', 'の', '事情', 'を', '配慮', 'し', 'て', 'この', '被', '相続', '人', 'の', '意思', 'として', '当然', 'あり', '得る', '合理', '的', 'な', '遺産', 'の', '分割', 'の', '方法', 'を']",['各般'],NO,各般,NO,NO
3,各般,職場における指導強化，各種相談事業の推進，補導活動の充実強化，住民の地域活動の促進等非行防止のための各般の活動を集中的に実施している。また，昭和六十一年度は，昨年に引き続き「目で,"['職場', 'における', '指導', '強化', '，', '各種', '相談', '事業', 'の', '推進', '，', '補導', '活動', 'の', '充実', '強化', '，', '住民', 'の', '地域', '活動', 'の', '促進', '等', '非行', '防止', 'の', 'ため', 'の', '各般', 'の', '活動', 'を', '集中', '的', 'に', '実施', 'し', 'て', 'いる', '。', 'また', '，', '昭和', '六', '十', '一', '年度', 'は', '，', '昨年', 'に', '引き続き', '「', '目', 'で']",['各般'],NO,各般,NO,NO
4,各般,ては、政府系金融機関からの低利融資、債務保証など、新たな事業展開を図ろうとする事業者に対する各般の支援措置を用意してございます。○坂上分科員少し具体的に聞きますが、特別償却制度はわかり,"['て', 'は', '、', '政府', '系', '金融', '機関', 'から', 'の', '低利', '融資', '、', '債務', '保証', 'など', '、', '新た', 'な', '事業', '展開', 'を', '図ろ', 'う', 'と', 'する', '事業', '者', 'に対する', '各般', 'の', '支援', '措置', 'を', '用意', 'し', 'て', 'ござい', 'ます', '。', '○', '坂上', '分科', '員', '少し', '具体', '的', 'に', '聞き', 'ます', 'が', '、', '特別', '償却', '制度', 'は', 'わかり']",['各般'],NO,各般,NO,NO
5,各般,進める旨が明らかにされた。運輸省としては，変更改善計画，緊急提言等を踏まえ，各般の緊急対策を鋭意推進しているが，効率的な経営形態の確立等の抜本的対策についても基本的には，,"['進める', '旨', 'が', '明らか', 'に', 'さ', 'れ', 'た', '。', '運輸省', 'として', 'は', '，', '変更', '改善', '計画', '，', '緊急', '提言', '等', 'を', '踏まえ', '，', '各般', 'の', '緊急', '対策', 'を', '鋭意', '推進', 'し', 'て', 'いる', 'が', '，', '効率', '的', 'な', '経営', '形態', 'の', '確立', '等', 'の', '抜本', '的', '対策', 'について', 'も', '基本', '的', 'に', 'は', '，']",['各般'],NO,各般,NO,NO
6,各般,確保，道路交通秩序の維持，救助・救急体制の整備，損害賠償の適正化，交通安全に関する科学技術の振興等の各般の交通安全対策の推進を図っており，こうした交通安全対策を通して交通事故の増加傾向に歯止め,"['確保', '，', '道路', '交通', '秩序', 'の', '維持', '，', '救助', '・', '救急', '体制', 'の', '整備', '，', '損害', '賠償', 'の', '適正', '化', '，', '交通', '安全', 'に関する', '科学', '技術', 'の', '振興', '等', 'の', '各般', 'の', '交通', '安全', '対策', 'の', '推進', 'を', '図っ', 'て', 'おり', '，', 'こうした', '交通', '安全', '対策', 'を通して', '交通', '事故', 'の', '増加', '傾向', 'に', '歯止め']",['各般'],NO,各般,NO,NO
7,各般,までに１万人以下とし，さらに，十二年までに九千人以下とすることを目標とし，各般の交通安全対策を鋭意推進した結果，交通事故による死者数は８年に九千九百四十二人と１万人を切り，十一年,"['まで', 'に', '１', '万', '人', '以下', 'と', 'し', '，', 'さらに', '，', '十', '二', '年', 'まで', 'に', '九', '千', '人', '以下', 'と', 'する', 'こと', 'を', '目標', 'と', 'し', '，', '各般', 'の', '交通', '安全', '対策', 'を', '鋭意', '推進', 'し', 'た', '結果', '，', '交通', '事故', 'による', '死者', '数', 'は', '８', '年', 'に', '九', '千', '九', '百', '四', '十', '二', '人', 'と', '１', '万', '人', 'を', '切り', '，', '十', '一', '年']",['各般'],NO,各般,NO,NO
8,各般,、健やかに新年をお迎えのこととお慶び申しあげます。日頃は、市政並びに区政の各般にわたり格別のご支援・ご協力をいただき誠にありがとうございます。さて、当区庁舎は建物の,"['、', '健やか', 'に', '新年', 'を', 'お迎え', 'の', 'こと', 'と', 'お', '慶び', '申しあげ', 'ます', '。', '日頃', 'は', '、', '市政', '並びに', '区', '政', 'の', '各般', 'にわたり', '格別', 'の', 'ご', '支援', '・', 'ご', '協力', 'を', 'いただき', '誠に', 'ありがとう', 'ござい', 'ます', '。', 'さて', '、', '当', '区', '庁舎', 'は', '建物', 'の']",['各般'],NO,各般,NO,NO
9,各般,措置を講ずることを初めといたしまして、その公正性、透明性をより一層高めるための各般の工夫を講じてまいりたいと思っております。○藤田（幸）委員ありがとうござい,"['措置', 'を', '講ずる', 'こと', 'を', '初め', 'と', 'いたし', 'まし', 'て', '、', 'その', '公正', '性', '、', '透明', '性', 'を', 'より', '一層', '高める', 'ため', 'の', '各般', 'の', '工夫', 'を', '講じ', 'て', 'まいり', 'たい', 'と', '思っ', 'て', 'おり', 'ます', '。', '○', '藤田', '（', '幸', '）', '委員', 'ありがとう', 'ござい']",['各般'],NO,各般,NO,NO
10,各般,整備、あるいは共同化や製造業、卸産業とのネットワークづくり、また、個々の商店の魅力アップ等の各般の取り組みに対して、補助だとか高度化無利子融資、低利融資等の支援を実施してまいりました。,"['整備', '、', 'あるいは', '共同', '化', 'や', '製造', '業', '、', '卸', '産業', 'と', 'の', 'ネットワーク', 'づくり', '、', 'また', '、', '個々', 'の', '商店', 'の', '魅力', 'アップ', '等', 'の', '各般', 'の', '取り組み', 'に対して', '、', '補助', 'だ', 'とか', '高度', '化', '無', '利子', '融資', '、', '低利', '融資', '等', 'の', '支援', 'を', '実施', 'し', 'て', 'まいり', 'まし', 'た', '。']",['各般'],NO,各般,NO,NO
11,各般,については，以上のような認識の下に，科学技術会議，航空・電子等技術審議会等の答申に沿って各般の物資・材料系科学技術施策が進められている。科学技術会議においては，諮問第十一号「新たな情勢変化に対応し,"['について', 'は', '，', '以上', 'の', 'よう', 'な', '認識', 'の', '下', 'に', '，', '科学', '技術', '会議', '，', '航空', '・', '電子', '等', '技術', '審議', '会', '等', 'の', '答申', 'に', '沿っ', 'て', '各般', 'の', '物資', '・', '材料', '系', '科学', '技術', '施策', 'が', '進め', 'られ', 'て', 'いる', '。', '科学', '技術', '会議', 'において', 'は', '，', '諮問', '第', '十', '一', '号', '「', '新た', 'な', '情勢', '変化', 'に', '対応', 'し']",['各般'],NO,各般,NO,NO
12,各般,重ねての御意見でございますが、私どもとしては、国内対策につきましては、各般の方面、まあ当然与党等の各般の御意見等も十二分にちょうだいいたしまして、また背くん,"['重ね', 'て', 'の', '御', '意見', 'で', 'ござい', 'ます', 'が', '、', '私', 'ども', 'として', 'は', '、', '国内', '対策', 'に', 'つき', 'まし', 'て', 'は', '、', '各般', 'の', '方面', '、', 'まあ', '当然', '与党', '等', 'の', '各般', 'の', '御', '意見', '等', 'も', '十', '二', '分', 'に', 'ちょうだい', 'いたし', 'まし', 'て', '、', 'また', '背く', 'ん']",['各般'],NO,各般,NO,NO
13,各般,重ねての御意見でございますが、私どもとしては、国内対策につきましては、各般の方面、まあ当然与党等の各般の御意見等も十二分にちょうだいいたしまして、また背くん,"['重ね', 'て', 'の', '御', '意見', 'で', 'ござい', 'ます', 'が', '、', '私', 'ども', 'として', 'は', '、', '国内', '対策', 'に', 'つき', 'まし', 'て', 'は', '、', '各般', 'の', '方面', '、', 'まあ', '当然', '与党', '等', 'の', '各般', 'の', '御', '意見', '等', 'も', '十', '二', '分', 'に', 'ちょうだい', 'いたし', 'まし', 'て', '、', 'また', '背く', 'ん']",['各般'],NO,各般,NO,NO
14,各般,した厳しい経営環境に対して、政府では従来から、意欲ある中小小売業者が円滑に対応できるよう各般の中小小売商業対策を推進してきているところであります。具体的には、大企業との連携、これ,"['し', 'た', '厳しい', '経営', '環境', 'に対して', '、', '政府', 'で', 'は', '従来', 'から', '、', '意欲', 'ある', '中小', '小売', '業者', 'が', '円滑', 'に', '対応', 'できる', 'よう', '各般', 'の', '中小', '小売', '商業', '対策', 'を', '推進', 'し', 'て', 'き', 'て', 'いる', 'ところ', 'で', 'あり', 'ます', '。', '具体', '的', 'に', 'は', '、', '大', '企業', 'と', 'の', '連携', '、', 'これ']",['各般'],NO,各般,NO,NO
15,各般,財政支出と名目ＧＮＰ（インフレ期待の鎮静化）五十四〜五十五年のマネーサプライの増加率の低下は，各般の物価対策の推進や後に述べる弾力的な賃金決定とあいまって，インフレ期待の高まりを抑え,"['財政', '支出', 'と', '名目', 'ＧＮＰ', '（', 'インフレ', '期待', 'の', '鎮静', '化', '）', '五', '十', '四', '〜', '五', '十', '五', '年', 'の', 'マネーサプライ', 'の', '増加', '率', 'の', '低下', 'は', '，', '各般', 'の', '物価', '対策', 'の', '推進', 'や', '後', 'に', '述べる', '弾力', '的', 'な', '賃金', '決定', 'と', 'あいまっ', 'て', '，', 'インフレ', '期待', 'の', '高まり', 'を', '抑え']",['各般'],NO,各般,NO,NO
16,各般,ここに存す。この新秩序の建設は日満支三国相携え、政治、経済、文化など各般にわたり互助連環の関係を樹立するをもって根幹とし、東亜における国際正義の確立、共同防共,"['ここ', 'に', '存す', '。', 'この', '新', '秩序', 'の', '建設', 'は', '日', '満', '支三', '国', '相', '携え', '、', '政治', '、', '経済', '、', '文化', 'など', '各般', 'にわたり', '互助', '連環', 'の', '関係', 'を', '樹立', 'する', 'をもって', '根幹', 'と', 'し', '、', '東亜', 'における', '国際', '正義', 'の', '確立', '、', '共同', '防共']",['各般'],NO,各般,NO,NO
17,各般,。一方，支出は五千九百二十七億円となっており，このうち事業支出は，要員規模の適正化，各般にわたる経費の節減等に努めているものの，前年度に比べ３億円増加し三千三百七十八億円となった。なお,"['。', '一方', '，', '支出', 'は', '五', '千', '九', '百', '二', '十', '七', '億', '円', 'と', 'なっ', 'て', 'おり', '，', 'この', 'うち', '事業', '支出', 'は', '，', '要員', '規模', 'の', '適正', '化', '，', '各般', 'にわたる', '経費', 'の', '節減', '等', 'に', '努め', 'て', 'いる', 'ものの', '，', '前年度', 'に', '比べ', '３', '億', '円', '増加', 'し', '三', '千', '三', '百', '七', '十', '八', '億', '円', 'と', 'なっ', 'た', '。', 'なお']",['各般'],NO,各般,NO,NO
18,各般,ことも大変重要なことであろうと考えております。各省との連携のもとに、各般のそういった健全育成のための諸施策を進めているところでございます。○東（,"['こと', 'も', '大変', '重要', 'な', 'こと', 'で', 'あろ', 'う', 'と', '考え', 'て', 'おり', 'ます', '。', '各省', 'と', 'の', '連携', 'の', 'もと', 'に', '、', '各般', 'の', 'そういった', '健全', '育成', 'の', 'ため', 'の', '諸', '施策', 'を', '進め', 'て', 'いる', 'ところ', 'で', 'ござい', 'ます', '。', '○', '東', '（']",['各般'],NO,各般,NO,NO
19,各般,の提供を行った。（８）国民生活センター国民生活センターでは，国民生活の改善に関する各般の情報を，関係省庁，地方公共団体の協力を得てテレビ（マイライフ’八十四），ラジオ,"['の', '提供', 'を', '行っ', 'た', '。', '（', '８', '）', '国民', '生活', 'センター', '国民', '生活', 'センター', 'で', 'は', '，', '国民', '生活', 'の', '改善', 'に関する', '各般', 'の', '情報', 'を', '，', '関係', '省庁', '，', '地方', '公共', '団体', 'の', '協力', 'を', '得', 'て', 'テレビ', '（', 'マイ', 'ライフ', '’', '八', '十', '四', '）', '，', 'ラジオ']",['各般'],NO,各般,NO,NO
20,各般,、国民生活の安全の確保に向けて消防がその使命を十分に果たすことができるよう、各般の施策を強力に展開していくことが強く求められているのである。具体的には、地域,"['、', '国民', '生活', 'の', '安全', 'の', '確保', 'に', '向け', 'て', '消防', 'が', 'その', '使命', 'を', '十分', 'に', '果たす', 'こと', 'が', 'できる', 'よう', '、', '各般', 'の', '施策', 'を', '強力', 'に', '展開', 'し', 'て', 'いく', 'こと', 'が', '強く', '求め', 'られ', 'て', 'いる', 'の', 'で', 'ある', '。', '具体', '的', 'に', 'は', '、', '地域']",['各般'],NO,各般,NO,NO
21,各般,地域においては、基盤施設の整備を中核として、それとタイムスケジュールを合わせつつ、各般の住宅・社会資本整備を重点的、効率的に推進することである。その場合、地域づくりが全国的に活発化し、,"['地域', 'において', 'は', '、', '基盤', '施設', 'の', '整備', 'を', '中核', 'として', '、', 'それ', 'と', 'タイム', 'スケジュール', 'を', '合わせ', 'つつ', '、', '各般', 'の', '住宅', '・', '社会', '資本', '整備', 'を', '重点的', '、', '効率', '的', 'に', '推進', 'する', 'こと', 'で', 'ある', '。', 'その', '場合', '、', '地域', 'づくり', 'が', '全国', '的', 'に', '活発', '化', 'し', '、']",['各般'],NO,各般,NO,NO
22,各般,、私どもとしては、国内対策につきましては、各般の方面、まあ当然与党等の各般の御意見等も十二分にちょうだいいたしまして、また背くん方の、野党の皆さんにも,"['、', '私', 'ども', 'として', 'は', '、', '国内', '対策', 'に', 'つき', 'まし', 'て', 'は', '、', '各般', 'の', '方面', '、', 'まあ', '当然', '与党', '等', 'の', '各般', 'の', '御', '意見', '等', 'も', '十', '二', '分', 'に', 'ちょうだい', 'いたし', 'まし', 'て', '、', 'また', '背く', 'ん', '方', 'の', '、', '野党', 'の', '皆さん', 'に', 'も']",['各般'],NO,各般,NO,NO
23,各般,、私どもとしては、国内対策につきましては、各般の方面、まあ当然与党等の各般の御意見等も十二分にちょうだいいたしまして、また背くん方の、野党の皆さんにも,"['、', '私', 'ども', 'として', 'は', '、', '国内', '対策', 'に', 'つき', 'まし', 'て', 'は', '、', '各般', 'の', '方面', '、', 'まあ', '当然', '与党', '等', 'の', '各般', 'の', '御', '意見', '等', 'も', '十', '二', '分', 'に', 'ちょうだい', 'いたし', 'まし', 'て', '、', 'また', '背く', 'ん', '方', 'の', '、', '野党', 'の', '皆さん', 'に', 'も']",['各般'],NO,各般,NO,NO
24,各般,職場における指導強化，各種相談事業の推進，補導活動の充実強化，住民の地域活動の促進等非行防止のための各般の活動を集中的に実施している。さらに，法務省においても，関係省庁，ボランティア団体等の協力,"['職場', 'における', '指導', '強化', '，', '各種', '相談', '事業', 'の', '推進', '，', '補導', '活動', 'の', '充実', '強化', '，', '住民', 'の', '地域', '活動', 'の', '促進', '等', '非行', '防止', 'の', 'ため', 'の', '各般', 'の', '活動', 'を', '集中', '的', 'に', '実施', 'し', 'て', 'いる', '。', 'さらに', '，', '法務省', 'において', 'も', '，', '関係', '省庁', '，', 'ボランティア', '団体', '等', 'の', '協力']",['各般'],NO,各般,NO,NO
25,各般,て、平成九年度を財政構造改革元年と位置づけて編成しております。歳出面につきましては、各般の制度改革の実現に努めるなど歳出全般について聖域なく徹底した洗い直しに取り組み、一般歳出の規模,"['て', '、', '平成', '九', '年度', 'を', '財政', '構造', '改革', '元年', 'と', '位置づけ', 'て', '編成', 'し', 'て', 'おり', 'ます', '。', '歳出', '面', 'に', 'つき', 'まし', 'て', 'は', '、', '各般', 'の', '制度', '改革', 'の', '実現', 'に', '努める', 'など', '歳出', '全般', 'について', '聖域', 'なく', '徹底', 'し', 'た', '洗い直し', 'に', '取り組み', '、', '一般', '歳出', 'の', '規模']",['各般'],NO,各般,NO,NO
26,各般,７億二十二百万円であった（第十三図）。国の調査研究のほか，地方公共団体及び民間研究機関においても，各般にわたる調査研究活動が行われているが，これらを含めても，なおかつ我が国の調査研究活動は,"['７', '億', '二', '十', '二', '百', '万', '円', 'で', 'あっ', 'た', '（', '第', '十', '三', '図', '）', '。', '国', 'の', '調査', '研究', 'の', 'ほか', '，', '地方', '公共', '団体', '及び', '民間', '研究', '機関', 'において', 'も', '，', '各般', 'にわたる', '調査', '研究', '活動', 'が', '行わ', 'れ', 'て', 'いる', 'が', '，', 'これら', 'を', '含め', 'て', 'も', '，', 'なおかつ', '我が国', 'の', '調査', '研究', '活動', 'は']",['各般'],NO,各般,NO,NO
27,各般,抜本的な拡充強化を図っております。情報技術の活用による中小小売店の生産性の向上を促進するための各般の助成制度というのもつくっております。こういうことで、中小小売商業対策の一層の充実強化に,"['抜本', '的', 'な', '拡充', '強化', 'を', '図っ', 'て', 'おり', 'ます', '。', '情報', '技術', 'の', '活用', 'による', '中小', '小売', '店', 'の', '生産', '性', 'の', '向上', 'を', '促進', 'する', 'ため', 'の', '各般', 'の', '助成', '制度', 'という', 'の', 'も', 'つくっ', 'て', 'おり', 'ます', '。', 'こういう', 'こと', 'で', '、', '中小', '小売', '商業', '対策', 'の', '一層', 'の', '充実', '強化', 'に']",['各般'],NO,各般,NO,NO
28,各般,、死者、行方不明者九名、被害住宅五万二千戸、被害総額は、土木、農林、水産、商工等の各般にわたって六百七十八億円に達しているとのことであります。以下、視察の日程に従いまして,"['、', '死者', '、', '行方', '不明', '者', '九', '名', '、', '被害', '住宅', '五', '万', '二', '千', '戸', '、', '被害', '総額', 'は', '、', '土木', '、', '農林', '、', '水産', '、', '商工', '等', 'の', '各般', 'にわたって', '六', '百', '七', '十', '八', '億', '円', 'に', '達し', 'て', 'いる', 'と', 'の', 'こと', 'で', 'あり', 'ます', '。', '以下', '、', '視察', 'の', '日程', 'に従いまして']",['各般'],NO,各般,NO,NO
29,各般,宮城県の花山村、ここも大雨による甚大な被害が出ております。激甚の指定、各般にわたる災害復旧の早期実施等々万全の対応をしていただきたい、こう考えております。国土庁、この問題,"['宮城', '県', 'の', '花山', '村', '、', 'ここ', 'も', '大雨', 'による', '甚大', 'な', '被害', 'が', '出', 'て', 'おり', 'ます', '。', '激甚', 'の', '指定', '、', '各般', 'にわたる', '災害', '復旧', 'の', '早期', '実施', '等', '々', '万全', 'の', '対応', 'を', 'し', 'て', 'いただき', 'たい', '、', 'こう', '考え', 'て', 'おり', 'ます', '。', '国土庁', '、', 'この', '問題']",['各般'],NO,各般,NO,NO
30,各般,、最も重大の事業であるということは、今さら申し述べる必要もないことでありますが、各般の人生生活の上に影響を及ぼすことでございます。かつて去る明治三十年に、当時,"['、', '最も', '重大', 'の', '事業', 'で', 'ある', 'という', 'こと', 'は', '、', '今さら', '申し述べる', '必要', 'も', 'ない', 'こと', 'で', 'あり', 'ます', 'が', '、', '各般', 'の', '人生', '生活', 'の', '上', 'に', '影響', 'を', '及ぼす', 'こと', 'で', 'ござい', 'ます', '。', 'かつて', '去る', '明治', '三', '十', '年', 'に', '、', '当時']",['各般'],NO,各般,NO,NO
31,各般,立案及び調整を積極的に行うとともに，関係機関の施策の総合調整等を図るため，災害対策総合推進調整費により各般の調査等を行い，災害対策の総合的推進を図る。（３）防災週間国土庁においては，,"['立案', '及び', '調整', 'を', '積極', '的', 'に', '行う', 'とともに', '，', '関係', '機関', 'の', '施策', 'の', '総合', '調整', '等', 'を', '図る', 'ため', '，', '災害', '対策', '総合', '推進', '調整', '費', 'により', '各般', 'の', '調査', '等', 'を', '行い', '，', '災害', '対策', 'の', '総合', '的', '推進', 'を', '図る', '。', '（', '３', '）', '防災', '週間', '国土庁', 'において', 'は', '，']",['各般'],NO,各般,NO,NO
32,各般,性能、仕様等が含まれるものであります。この法案につきまして、制定後には各般の普及啓発活動も行うところでございまして、解釈につきましてのこのような考え方,"['性能', '、', '仕様', '等', 'が', '含ま', 'れる', 'もの', 'で', 'あり', 'ます', '。', 'この', '法案', 'に', 'つき', 'まし', 'て', '、', '制定', '後', 'に', 'は', '各般', 'の', '普及', '啓発', '活動', 'も', '行う', 'ところ', 'で', 'ござい', 'まし', 'て', '、', '解釈', 'に', 'つき', 'まし', 'て', 'の', 'この', 'よう', 'な', '考え方']",['各般'],NO,各般,NO,NO
33,各般,多様に出てくるかもしれないいろいろな悪徳商法も含めまして、今後とも関係省庁とも連携をとりながら、各般の施策のきめ細かな実施を図り、また消費者の啓発にも努めまして実効を,"['多様', 'に', '出', 'て', 'くる', 'かも', 'しれ', 'ない', 'いろいろ', 'な', '悪徳', '商法', 'も', '含め', 'まし', 'て', '、', '今後', 'とも', '関係', '省庁', 'とも', '連携', 'を', 'とり', 'ながら', '、', '各般', 'の', '施策', 'の', 'きめ細か', 'な', '実施', 'を', '図り', '、', 'また', '消費', '者', 'の', '啓発', 'に', 'も', '努め', 'まし', 'て', '実効', 'を']",['各般'],NO,各般,NO,NO
34,各般,昭和四十七年６月，産業構造審議会国際経済部会は「信頼される日本への道」と題して，対外経済政策について各般の提言を行った。それから十年を経過した今日，内外情勢は著しい変化を遂げ,"['昭和', '四', '十', '七', '年', '６月', '，', '産業', '構造', '審議', '会', '国際', '経済', '部会', 'は', '「', '信頼', 'さ', 'れる', '日本', 'へ', 'の', '道', '」', 'と', '題し', 'て', '，', '対外', '経済', '政策', 'について', '各般', 'の', '提言', 'を', '行っ', 'た', '。', 'それ', 'から', '十', '年', 'を', '経過', 'し', 'た', '今日', '，', '内外', '情勢', 'は', '著しい', '変化', 'を', '遂げ']",['各般'],NO,各般,NO,NO
35,各般,特にリスクマネーの供給を確保するとか、あるいは人材の移動の円滑化を図るとか、各般の施策を講じたわけでございまして、今お願いしております予算案におきまして,"['特に', 'リスク', 'マネー', 'の', '供給', 'を', '確保', 'する', 'とか', '、', 'あるいは', '人材', 'の', '移動', 'の', '円滑', '化', 'を', '図る', 'とか', '、', '各般', 'の', '施策', 'を', '講じ', 'た', 'わけ', 'で', 'ござい', 'まし', 'て', '、', '今', 'お願い', 'し', 'て', 'おり', 'ます', '予算', '案', 'におきまして']",['各般'],NO,各般,NO,NO
36,各般,が、先ほど御紹介をした経緯以降、ＡＭＩ本社あるいはＡＭＩジャパンの担当者との間では、各般の他のプロジェクトも含めた意見交換の機会がございましたけれども、本件について具体的,"['が', '、', '先', 'ほど', '御', '紹介', 'を', 'し', 'た', '経緯', '以降', '、', 'ＡＭＩ', '本社', 'あるいは', 'ＡＭＩ', 'ジャパン', 'の', '担当', '者', 'と', 'の', '間', 'で', 'は', '、', '各般', 'の', '他', 'の', 'プロジェクト', 'も', '含め', 'た', '意見', '交換', 'の', '機会', 'が', 'ござい', 'まし', 'た', 'けれども', '、', '本件', 'について', '具体', '的']",['各般'],NO,各般,NO,NO
37,各般,の引上げ、中古住宅による居住水準の向上を図るための既存住宅の貸付条件の改善など施策目的に応じ各般の拡充措置を講ずることとしている（表２‐Ⅱ‐十八）。表２‐,"['の', '引上げ', '、', '中古', '住宅', 'による', '居住', '水準', 'の', '向上', 'を', '図る', 'ため', 'の', '既存', '住宅', 'の', '貸付', '条件', 'の', '改善', 'など', '施策', '目的', 'に', '応じ', '各般', 'の', '拡充', '措置', 'を', '講ずる', 'こと', 'と', 'し', 'て', 'いる', '（', '表', '２', '‐', 'Ⅱ', '‐', '十', '八', '）', '。', '表', '２', '‐']",['各般'],NO,各般,NO,NO
38,各般,と交通安全に関する教育・広報及び民間の交通安全活動の推進等による交通安全思想の普及等に重点を置いて，各般にわたる交通安全対策を総合的かつ強力に推進している。これらの施策のうち，青少年に関する主な,"['と', '交通', '安全', 'に関する', '教育', '・', '広報', '及び', '民間', 'の', '交通', '安全', '活動', 'の', '推進', '等', 'による', '交通', '安全', '思想', 'の', '普及', '等', 'に', '重点', 'を', '置い', 'て', '，', '各般', 'にわたる', '交通', '安全', '対策', 'を', '総合', '的', 'かつ', '強力', 'に', '推進', 'し', 'て', 'いる', '。', 'これら', 'の', '施策', 'の', 'うち', '，', '青少年', 'に関する', '主', 'な']",['各般'],NO,各般,NO,NO
39,各般,の（４）までにわたります部分は施設の整備充実、単価のアップ等、労災補償制度の各般の改善を進めるものでございます。それから、十一ページの６、７は、それぞれ従来,"['の', '（', '４', '）', 'まで', 'にわたります', '部分', 'は', '施設', 'の', '整備', '充実', '、', '単価', 'の', 'アップ', '等', '、', '労災', '補償', '制度', 'の', '各般', 'の', '改善', 'を', '進める', 'もの', 'で', 'ござい', 'ます', '。', 'それから', '、', '十', '一', 'ページ', 'の', '６', '、', '７', 'は', '、', 'それぞれ', '従来']",['各般'],NO,各般,NO,NO
